type,normal,mc_without_assertion,mc_with_assertion,test_case,tx_id
INITIALIZE_CONFIG,556694,578116,655083,"setAccountMultiSigThreshold: Should increase multisig threshold successfully",1
CREATE_ACCOUNT,255974,282950,333731,"setAccountMultiSigThreshold: Should increase multisig threshold successfully",2
ADD_ACCOUNT_SIGNER,255974,284537,334525,"setAccountMultiSigThreshold: Should increase multisig threshold successfully",3
SET_ACCOUNT_MULTI_SIG_THRESHOLD,248833,284537,327383,"setAccountMultiSigThreshold: Should increase multisig threshold successfully",4
INITIALIZE_CONFIG,556694,578116,655083,"setAccountMultiSigThreshold: Should decrease multisig threshold successfully",1
CREATE_ACCOUNT,255974,282950,333731,"setAccountMultiSigThreshold: Should decrease multisig threshold successfully",2
ADD_ACCOUNT_SIGNER,255974,284537,334525,"setAccountMultiSigThreshold: Should decrease multisig threshold successfully",3
SET_ACCOUNT_MULTI_SIG_THRESHOLD,248833,284537,327383,"setAccountMultiSigThreshold: Should decrease multisig threshold successfully",4
SET_ACCOUNT_MULTI_SIG_THRESHOLD,275016,288504,352774,"setAccountMultiSigThreshold: Should decrease multisig threshold successfully",5
INITIALIZE_CONFIG,556694,578116,655083,"setAccountMultiSigThreshold: fails if threshold = 0",1
CREATE_ACCOUNT,255974,282950,333731,"setAccountMultiSigThreshold: fails if threshold = 0",2
INITIALIZE_CONFIG,556694,578116,655083,"setAccountMultiSigThreshold: fails if threshold > number of admins",1
CREATE_ACCOUNT,255974,282950,333731,"setAccountMultiSigThreshold: fails if threshold > number of admins",2
ADD_ACCOUNT_SIGNER,255974,284537,334525,"setAccountMultiSigThreshold: fails if threshold > number of admins",3
SET_ACCOUNT_MULTI_SIG_THRESHOLD,248833,284537,327383,"setAccountMultiSigThreshold: fails if threshold > number of admins",4
INITIALIZE_CONFIG,556694,578116,655083,"addWithdrawalAddress: should add withdrawal address successfully",1
CREATE_ACCOUNT,255974,282950,333731,"addWithdrawalAddress: should add withdrawal address successfully",2
ADD_WITHDRAWAL_ADDRESS,249626,284537,327383,"addWithdrawalAddress: should add withdrawal address successfully",3
INITIALIZE_CONFIG,556694,578116,655083,"addWithdrawalAddress: fails if account does not exist",1
INITIALIZE_CONFIG,556694,578116,655083,"addWithdrawalAddress: fails if withdrawal address already exists",1
CREATE_ACCOUNT,255974,282950,333731,"addWithdrawalAddress: fails if withdrawal address already exists",2
ADD_WITHDRAWAL_ADDRESS,249626,284537,327383,"addWithdrawalAddress: fails if withdrawal address already exists",3
ADD_WITHDRAWAL_ADDRESS,249626,284537,327383,"addWithdrawalAddress: fails if withdrawal address already exists",4
INITIALIZE_CONFIG,556694,578116,655083,"removeWithdrawalAddress: Should remove withdrawal address successfully",1
CREATE_ACCOUNT,255974,282950,333731,"removeWithdrawalAddress: Should remove withdrawal address successfully",2
ADD_WITHDRAWAL_ADDRESS,249626,284537,327383,"removeWithdrawalAddress: Should remove withdrawal address successfully",3
ADD_ACCOUNT_SIGNER,255974,284537,334525,"removeWithdrawalAddress: Should remove withdrawal address successfully",4
